
Consulta de lançamentos da empresa 534 - OXIGENIO MODELO INDUSTRIA E COMERCIO DE GASES LTDA

Transação;Chave;Data;Débito;*;CC Débito;Participante D;Crédito;* ;CC Crédito;Participante C;Valor;Tipo Fcont;Hist;Nº docto;Complemento;Contabilização;Status transação;Lançamento extemporâneo
298641;13410156;22/01/2025;5576;*;;;6033;;;;          0.90;Não exporta;0;;TARIFA BANCARIA LIQUIDACAO QRCODE PIX 1;Ambas;SIM;
298671;13410458;23/01/2025;5576;*;;;6033;;;;          0.90;Não exporta;0;;TARIFA BANCARIA LIQUIDACAO QRCODE PIX 1;Ambas;SIM;
298697;13410717;24/01/2025;5576;*;;;6033;;;;          0.90;Não exporta;0;;TARIFA BANCARIA LIQUIDACAO QRCODE PIX 1;Ambas;SIM;
298724;13410989;27/01/2025;5576;*;;;6033;;;;          0.90;Não exporta;0;;TARIFA BANCARIA LIQUIDACAO QRCODE PIX 1;Ambas;SIM;
298793;13411675;29/01/2025;5576;*;;;6033;;;;          0.90;Não exporta;0;;TARIFA BANCARIA LIQUIDACAO QRCODE PIX 1;Ambas;SIM;
324158;13728120;07/01/2025;;;;;2445;;;;          1.30;Não exporta;1872;84167;84167 - CONEMANG CONEXOES E MANG. HIDR. LTDA;Ambas;SIM;
297600;13399772;06/01/2025;5576;*;;;78;;;;          1.53;Não exporta;0;;0000 13113 124 DÉBITO SERVIÇO COBRANÇA 1.657.348.017.027 TAR. AGRUPADAS - OCORRENCIA;Ambas;SIM;
297611;13399888;08/01/2025;5576;*;;;78;;;;          1.53;Não exporta;0;;0000 13113 124 DÉBITO SERVIÇO COBRANÇA 1.657.348.017.027 TAR. AGRUPADAS - OCORRENCIA;Ambas;SIM;
298776;13411500;28/01/2025;5576;*;;;6033;;;;          1.80;Não exporta;0;;TARIFA BANCARIA LIQUIDACAO QRCODE PIX 2;Ambas;SIM;
298537;13409115;16/01/2025;5576;*;;;6033;;;;          1.80;Não exporta;0;;TARIFA BANCARIA LIQUIDACAO QRCODE PIX 2;Ambas;SIM;
298482;13408569;13/01/2025;5576;*;;;6033;;;;          1.80;Não exporta;0;;TARIFA BANCARIA LIQUIDACAO QRCODE PIX 2;Ambas;SIM;
297898;13402730;06/01/2025;5576;*;;;7501;;;;          1.90;Não exporta;0;;425124 TARIFA COBRANÇA;Ambas;SIM;
297921;13402960;07/01/2025;5576;*;;;7501;;;;          1.90;Não exporta;0;;425631 TARIFA COBRANÇA;Ambas;SIM;
297971;13403460;13/01/2025;5576;*;;;7501;;;;          1.90;Não exporta;0;;427487 TARIFA COBRANÇA;Ambas;SIM;
298005;13403800;16/01/2025;5576;*;;;7501;;;;          1.90;Não exporta;0;;428770 TARIFA COBRANÇA;Ambas;SIM;
298023;13403982;17/01/2025;5576;*;;;7501;;;;          1.90;Não exporta;0;;429125 TARIFA COBRANÇA;Ambas;SIM;
298123;13404989;28/01/2025;5576;*;;;7501;;;;          1.90;Não exporta;0;;431459 TARIFA COBRANÇA;Ambas;SIM;
297668;13400452;14/01/2025;5576;*;;;78;;;;          1.95;Não exporta;0;;0000 13113 124 DÉBITO SERVIÇO COBRANÇA 1.657.348.017.027 TAR. AGRUPADAS - OCORRENCIA;Ambas;SIM;
297726;13401033;21/01/2025;5576;*;;;78;;;;          1.95;Não exporta;0;;0000 13113 124 DÉBITO SERVIÇO COBRANÇA 1.657.348.017.027 TAR. AGRUPADAS - OCORRENCIA;Ambas;SIM;
297700;13400770;17/01/2025;5576;*;;;78;;;;          2.04;Não exporta;0;;0000 13113 124 DÉBITO SERVIÇO COBRANÇA 1.657.348.017.027 TAR. AGRUPADAS - OCORRENCIA;Ambas;SIM;
297782;13401599;24/01/2025;5010;*;;;78;;;;          2.34;Não exporta;0;;0000 13105 109 PAGAMENTO DE BOLETO 12.425 NOBRES PREFEITURA MUNICIPAL;Ambas;SIM;
298698;13410725;24/01/2025;5576;*;;;6033;;;;          2.70;Não exporta;0;;TARIFA BANCARIA LIQUIDACAO QRCODE PIX 3;Ambas;SIM;
297728;13401050;21/01/2025;5576;*;;;78;;;;          3.06;Não exporta;0;;0000 13113 124 DÉBITO SERVIÇO COBRANÇA 1.657.348.017.027 TAR. AGRUPADAS - OCORRENCIA;Ambas;SIM;
297684;13400614;15/01/2025;5576;*;;;78;;;;          3.06;Não exporta;0;;0000 13113 124 DÉBITO SERVIÇO COBRANÇA 1.657.348.017.027 TAR. AGRUPADAS - OCORRENCIA;Ambas;SIM;
297820;13401971;29/01/2025;5576;*;;;78;;;;          3.57;Não exporta;0;;0000 13113 124 DÉBITO SERVIÇO COBRANÇA 1.657.348.017.027 TAR. AGRUPADAS - OCORRENCIA;Ambas;SIM;
298081;13404563;24/01/2025;5576;*;;;7501;;;;          3.80;Não exporta;0;;430796 TARIFA COBRANÇA;Ambas;SIM;
297857;13402323;02/01/2025;5576;*;;;7501;;;;          3.80;Não exporta;0;;424373 TARIFA COBRANÇA;Ambas;SIM;
324173;13728297;09/01/2025;4499;;;;1201;;;40725;          3.86;Não exporta;116;2885;2885 - Posto de Molas El Shaday;Ambas;SIM;
297803;13401807;27/01/2025;5576;*;;;78;;;;          4.08;Não exporta;0;;0000 13113 124 DÉBITO SERVIÇO COBRANÇA 1.657.348.017.027 TAR. AGRUPADAS - OCORRENCIA;Ambas;SIM;
297602;13399799;07/01/2025;5576;*;;;78;;;;          4.08;Não exporta;0;;0000 13113 124 DÉBITO SERVIÇO COBRANÇA 1.657.348.017.027 TAR. AGRUPADAS - OCORRENCIA;Ambas;SIM;
297586;13399632;03/01/2025;5576;*;;;78;;;;          4.08;Não exporta;0;;0000 13113 124 DÉBITO SERVIÇO COBRANÇA 1.657.348.017.027 TAR. AGRUPADAS - OCORRENCIA;Ambas;SIM;
297734;13401114;22/01/2025;5576;*;;;78;;;;          4.59;Não exporta;0;;0000 13113 124 DÉBITO SERVIÇO COBRANÇA 1.657.348.017.027 TAR. AGRUPADAS - OCORRENCIA;Ambas;SIM;
297660;13400371;13/01/2025;5576;*;;;78;;;;          4.59;Não exporta;0;;0000 13113 124 DÉBITO SERVIÇO COBRANÇA 1.657.348.017.027 TAR. AGRUPADAS - OCORRENCIA;Ambas;SIM;
324190;13728520;10/01/2025;;;;;2445;;;;          4.95;Não exporta;1872;141681;141681 - DELAI &amp; SILVA LTDA;Ambas;SIM;
297823;13402005;30/01/2025;5576;*;;;78;;;;          5.10;Não exporta;0;;0000 13113 124 DÉBITO SERVIÇO COBRANÇA 1.657.348.017.027 TAR. AGRUPADAS - OCORRENCIA;Ambas;SIM;
297750;13401270;23/01/2025;5576;*;;;78;;;;          5.10;Não exporta;0;;0000 13113 124 DÉBITO SERVIÇO COBRANÇA 1.657.348.017.027 TAR. AGRUPADAS - OCORRENCIA;Ambas;SIM;
297865;13402404;03/01/2025;5576;*;;;7501;;;;          5.70;Não exporta;0;;424699 TARIFA COBRANÇA;Ambas;SIM;
298178;13405535;31/01/2025;5576;*;;;7501;;;;          5.70;Não exporta;0;;432432 TARIFA COBRANÇA;Ambas;SIM;
298135;13405101;29/01/2025;5576;*;;;7501;;;;          5.70;Não exporta;0;;431795 TARIFA COBRANÇA;Ambas;SIM;
297944;13403192;09/01/2025;5576;*;;;7501;;;;          5.70;Não exporta;0;;426524 TARIFA COBRANÇA;Ambas;SIM;
297670;13400479;14/01/2025;5576;*;;;78;;;;          6.12;Não exporta;0;;0000 13113 124 DÉBITO SERVIÇO COBRANÇA 1.657.348.017.027 TAR. AGRUPADAS - OCORRENCIA;Ambas;SIM;
297580;13399578;02/01/2025;5576;*;;;78;;;;          6.12;Não exporta;0;;0000 13113 124 DÉBITO SERVIÇO COBRANÇA 1.657.348.017.027 TAR. AGRUPADAS - OCORRENCIA;Ambas;SIM;
324216;13728875;15/01/2025;4499;;;;1201;;;40725;          6.22;Não exporta;116;2896;2896 - Posto de Molas El Shaday;Ambas;SIM;
297616;13399934;09/01/2025;5576;*;;;78;;;;          6.63;Não exporta;0;;0000 13113 124 DÉBITO SERVIÇO COBRANÇA 1.657.348.017.027 TAR. AGRUPADAS - OCORRENCIA;Ambas;SIM;
298141;13405160;30/01/2025;5576;*;;;7501;;;;          7.60;Não exporta;0;;432124 TARIFA COBRANÇA;Ambas;SIM;
298029;13404040;20/01/2025;5576;*;;;7501;;;;          7.60;Não exporta;0;;429474 TARIFA COBRANÇA;Ambas;SIM;
297785;13401629;24/01/2025;5576;*;;;78;;;;          8.23;Não exporta;0;;0000 13113 124 DÉBITO SERVIÇO COBRANÇA 1.657.348.017.027 TAR. AGRUPADAS - OCORRENCIA;Ambas;SIM;
297809;13401866;28/01/2025;5576;*;;;78;;;;          8.67;Não exporta;0;;0000 13113 124 DÉBITO SERVIÇO COBRANÇA 1.657.348.017.027 TAR. AGRUPADAS - OCORRENCIA;Ambas;SIM;
298642;13410164;22/01/2025;5576;*;;;6033;;;;          9.00;Não exporta;0;;TARIFA BANCARIA TRANSF PGTO PIX 190125;Ambas;SIM;
298399;13407732;10/01/2025;5576;*;;;6033;;;;          9.00;Não exporta;0;;TARIFA BANCARIA TRANSF PGTO PIX 80125;Ambas;SIM;
298363;13407376;08/01/2025;5576;*;;;6033;;;;          9.00;Não exporta;0;;TARIFA BANCARIA TRANSF PGTO PIX 60125;Ambas;SIM;
297689;13400665;16/01/2025;5576;*;;;78;;;;          9.19;Não exporta;0;;0000 13020 124 DÉBITO SERVIÇO COBRANÇA 810.161.100.007.129;Ambas;SIM;
297783;13401602;24/01/2025;5576;*;;;78;;;;          9.19;Não exporta;0;;0000 13020 124 DÉBITO SERVIÇO COBRANÇA 860.241.000.008.585;Ambas;SIM;
297819;13401963;29/01/2025;5576;*;;;78;;;;          9.75;Não exporta;0;;0000 13113 124 DÉBITO SERVIÇO COBRANÇA 1.657.348.017.027 TAR. AGRUPADAS - OCORRENCIA;Ambas;SIM;
297749;13401262;23/01/2025;5576;*;;;78;;;;          9.75;Não exporta;0;;0000 13113 124 DÉBITO SERVIÇO COBRANÇA 1.657.348.017.027 TAR. AGRUPADAS - OCORRENCIA;Ambas;SIM;
297711;13400886;20/01/2025;5576;*;;;78;;;;          9.75;Não exporta;0;;0000 13113 124 DÉBITO SERVIÇO COBRANÇA 1.657.348.017.027 TAR. AGRUPADAS - OCORRENCIA;Ambas;SIM;
297606;13399837;07/01/2025;5576;*;;;78;;;;          9.75;Não exporta;0;;0000 13113 124 DÉBITO SERVIÇO COBRANÇA 1.657.348.017.027 TAR. AGRUPADAS - OCORRENCIA;Ambas;SIM;
297713;13400908;20/01/2025;5576;*;;;78;;;;         10.00;Não exporta;0;;0000 13113 258 TARIFA PIX ENVIADO 830.201.200.654.428 TAR. AGRUPADAS - OCORRENCIA;Ambas;SIM;
297712;13400894;20/01/2025;5576;*;;;78;;;;         10.20;Não exporta;0;;0000 13113 124 DÉBITO SERVIÇO COBRANÇA 1.657.348.017.027 TAR. AGRUPADAS - OCORRENCIA;Ambas;SIM;
297997;13403729;15/01/2025;5576;*;;;7501;;;;         11.40;Não exporta;0;;428379 TARIFA COBRANÇA;Ambas;SIM;
298047;13404229;21/01/2025;5576;*;;;7501;;;;         11.40;Não exporta;0;;429865 TARIFA COBRANÇA;Ambas;SIM;
297691;13400681;16/01/2025;5576;*;;;78;;;;         11.80;Não exporta;0;;0000 13113 124 DÉBITO SERVIÇO COBRANÇA 1.657.348.017.027 TAR. AGRUPADAS - OCORRENCIA;Ambas;SIM;
298570;13409441;17/01/2025;5576;*;;;6033;;;;         13.10;Não exporta;0;;DOC/TED INTERNET TED INTERNET 4895294;Ambas;SIM;
297829;13402064;31/01/2025;5576;*;;;78;;;;         13.65;Não exporta;0;;0000 13113 124 DÉBITO SERVIÇO COBRANÇA 1.657.348.017.027 TAR. AGRUPADAS - OCORRENCIA;Ambas;SIM;
297822;13401998;30/01/2025;5576;*;;;78;;;;         13.65;Não exporta;0;;0000 13113 124 DÉBITO SERVIÇO COBRANÇA 1.657.348.017.027 TAR. AGRUPADAS - OCORRENCIA;Ambas;SIM;
297802;13401793;27/01/2025;5576;*;;;78;;;;         13.65;Não exporta;0;;0000 13113 124 DÉBITO SERVIÇO COBRANÇA 1.657.348.017.027 TAR. AGRUPADAS - OCORRENCIA;Ambas;SIM;
297589;13399667;03/01/2025;5576;*;;;78;;;;         13.65;Não exporta;0;;0000 13113 124 DÉBITO SERVIÇO COBRANÇA 1.657.348.017.027 TAR. AGRUPADAS - OCORRENCIA;Ambas;SIM;
324306;13730000;26/01/2025;;;;;2445;;;;         13.93;Não exporta;1872;108048;108048 - Auto Posto Diamante do Norte Ltda;Ambas;SIM;
324321;13730212;28/01/2025;;;;;2445;;;;         15.00;Não exporta;1872;108179;108179 - Auto Posto Diamante do Norte Ltda;Ambas;SIM;
324218;13728912;15/01/2025;;;;;2445;;;;         15.00;Não exporta;1872;106675;106675 - Auto Posto Diamante do Norte Ltda;Ambas;SIM;
298075;13404504;23/01/2025;5576;*;;;7501;;;;         15.20;Não exporta;0;;430510 TARIFA COBRANÇA;Ambas;SIM;
324222;13728980;16/01/2025;;;;;2445;;;;         17.13;Não exporta;1872;4099;4099 - Pororoca Auto Posto Ltda;Ambas;SIM;
297733;13401106;22/01/2025;5576;*;;;78;;;;         17.55;Não exporta;0;;0000 13113 124 DÉBITO SERVIÇO COBRANÇA 1.657.348.017.027 TAR. AGRUPADAS - OCORRENCIA;Ambas;SIM;
324262;13729480;21/01/2025;;;;;2445;;;;         17.76;Não exporta;1872;182040;182040 - Auto Posto da Ponte Pres. Epitacio;Ambas;SIM;
324345;13730531;30/01/2025;;;;;2445;;;;         18.00;Não exporta;1872;143938;143938 - DELAI &amp; SILVA LTDA;Ambas;SIM;
297615;13399926;09/01/2025;5576;*;;;78;;;;         19.50;Não exporta;0;;0000 13113 124 DÉBITO SERVIÇO COBRANÇA 1.657.348.017.027 TAR. AGRUPADAS - OCORRENCIA;Ambas;SIM;
298262;13406361;03/01/2025;1201;;;1;6033;;;;         19.90;Não exporta;0;130913;PAGTO. NFE 130913/001 DE MESSER GASES LTDA;Ambas;SIM;
324095;13727141;17/01/2025;9431;;;;51;;;;         20.00;Não exporta;1902;;- Código 3773 - TUM-Taxa de utilização do Mercante;Ambas;SIM;
297784;13401610;24/01/2025;5576;*;;;78;;;;         21.45;Não exporta;0;;0000 13113 124 DÉBITO SERVIÇO COBRANÇA 1.657.348.017.027 TAR. AGRUPADAS - OCORRENCIA;Ambas;SIM;
297599;13399764;06/01/2025;5576;*;;;78;;;;         21.45;Não exporta;0;;0000 13113 124 DÉBITO SERVIÇO COBRANÇA 1.657.348.017.027 TAR. AGRUPADAS - OCORRENCIA;Ambas;SIM;
297831;13402080;31/01/2025;3484;*;;;78;;;;         21.47;Não exporta;0;;0000 13601 123 COBRANÇA DE JUROS 511.057.327;Ambas;SIM;
298317;13406914;06/01/2025;5703;*;;;6033;;;;         22.00;Não exporta;0;;CARTAO CREDITO ANUIDADE 4740006;Ambas;SIM;
324261;13729455;21/01/2025;;;;;2445;;;;         22.50;Não exporta;1872;107446;107446 - Auto Posto Diamante do Norte Ltda;Ambas;SIM;
324292;13729820;24/01/2025;4375;;;;1201;;;14184;         24.00;Não exporta;116;139065;139065 - CENTRAL ELETRICIDADE LTDA;Ambas;SIM;
298843;13412175;30/01/2025;1201;*;;14184;6033;;;;         24.00;Não exporta;0;139065;PAGTO. NFE 139065/001 DE CENTRAL ELETRICIDADE LTDA;Ambas;SIM;
298261;13406353;03/01/2025;1201;;;1;6033;;;;         24.95;Não exporta;0;130909;PAGTO. NFE 130909/001 DE MESSER GASES LTDA;Ambas;SIM;
324333;13730397;29/01/2025;;;;;2445;;;;         25.83;Não exporta;1872;108290;108290 - Auto Posto Diamante do Norte Ltda;Ambas;SIM;
292045;13727754;02/01/2025;;;;;2445;;;;         25.90;Não exporta;1872;4032;4032 - Pororoca Auto Posto Ltda;Ambas;SIM;
298828;13412027;30/01/2025;6033;;;;2445;;;;         26.03;Não exporta;0;;RECEB. DE DESCONTO DE MINISTERIO DA JUSTICA - DPTO. DE POLICIA;Ambas;SIM;
298826;13412000;30/01/2025;6033;;;;2445;;;;         26.03;Não exporta;0;;RECEB. DE DESCONTO DE MINISTERIO DA JUSTICA - DPTO. DE POLICIA;Ambas;SIM;
298658;13410326;23/01/2025;6033;;;;2445;;;;         26.03;Não exporta;0;;RECEB. DE DESCONTO DE MINISTERIO DA JUSTICA - DPTO. DE POLICIA;Ambas;SIM;
298469;13408437;13/01/2025;6033;;;;2445;;;;         26.03;Não exporta;0;;RECEB. DE DESCONTO DE MINISTERIO DA JUSTICA - DPTO. DE POLICIA;Ambas;SIM;
298448;13408224;13/01/2025;6033;;;;2445;;;;         26.03;Não exporta;0;;RECEB. DE DESCONTO DE MINISTERIO DA JUSTICA - DPTO. DE POLICIA;Ambas;SIM;
298274;13406485;03/01/2025;6033;;;;2445;;;;         26.03;Não exporta;0;;RECEB. DE DESCONTO DE MINISTERIO DA JUSTICA - DPTO. DE POLICIA;Ambas;SIM;
297778;13401556;24/01/2025;78;;;;2445;;;;         26.03;Não exporta;0;;RECEB. DE DESCONTO DE OXIGENIO M COM DE GAS;Ambas;SIM;
324150;13728007;06/01/2025;4375;;;;1201;;;9843;         26.20;Não exporta;116;69830;69830 - JS FERRAGENS E FERRAMENTAS LTDA;Ambas;SIM;
324012;13718207;01/01/2025;1201;*;;1721;1201;*;;1;         26.97;Não exporta;1694;;;Ambas;SIM;
297990;13403656;14/01/2025;1201;*;;9843;7501;;;;         27.00;Não exporta;0;;PIX PIX EMITIDO OUTRA IF PAGAMENTO PIX 08.602.550 0001-92 JS FERRAGENS;Ambas;SIM;
297667;13400444;14/01/2025;3484;*;;;78;;;;         28.86;Não exporta;0;;PAGTO. DE JUROS DE AVDOURADOS INSTITUTO DE ENSINO BILI;Ambas;SIM;
298471;13408453;13/01/2025;1201;*;;1;6033;;;;         29.84;Não exporta;0;131056;PAGTO. NFE 131056/001 DE MESSER GASES LTDA;Ambas;SIM;
324167;13728237;08/01/2025;4243;;;;1201;;;27301;         29.84;Não exporta;116;131312;131312 - Messer Gases Ltda;Ambas;SIM;
324165;13728210;08/01/2025;;;;;2445;;;;         30.00;Não exporta;1872;105890;105890 - Auto Posto Diamante do Norte Ltda;Ambas;SIM;
297609;13399861;08/01/2025;1236;;;;78;;;;         30.37;Não exporta;0;;0000 13185 156 CÂMBIO 7.191.011.727;Ambas;SIM;
297690;13400673;16/01/2025;5576;*;;;78;;;;         31.20;Não exporta;0;;0000 13113 124 DÉBITO SERVIÇO COBRANÇA 1.657.348.017.027 TAR. AGRUPADAS - OCORRENCIA;Ambas;SIM;
324323;13730256;28/01/2025;;;;;2445;;;;         32.64;Não exporta;1872;143568;143568 - DELAI &amp; SILVA LTDA;Ambas;SIM;
297939;13403141;09/01/2025;3239;*;;;7501;;;;         34.49;Não exporta;0;;PIX PIX EMITIDO OUTRA IF PAGAMENTO PIX 17.895.646 0001-87 UBER;Ambas;SIM;
324276;13729641;23/01/2025;3182;;;;1201;;;33981;         35.00;Não exporta;116;107657;107657 - Auto Posto Diamante do Norte Ltda;Ambas;SIM;
298731;13411055;27/01/2025;6033;;;;6670;*;;;         35.00;Não exporta;0;;TRANSFERENCIA PIX REM: CARLOS BATISTA MACHAD 27/01 852557;Ambas;SIM;
298693;13410679;24/01/2025;6033;;;;6670;*;;;         35.00;Não exporta;0;;TRANSFERENCIA PIX REM: 53.542.900 MAICON FER 24/01 1711466;Ambas;SIM;
298408;13407821;10/01/2025;6033;;;;6670;*;;;         35.00;Não exporta;0;;TRANSFERENCIA PIX REM: JEAN DA SILVA PASSARI 10/01 856085;Ambas;SIM;
298390;13407643;09/01/2025;6033;;;;6670;*;;;         35.00;Não exporta;0;;TRANSFERENCIA PIX REM: JEAN DA SILVA PASSARI 09/01 2129292;Ambas;SIM;
298667;13410415;23/01/2025;1201;;;1;6033;;;;         35.96;Não exporta;0;89924;PAGTO. NFE 89924/002 DE DIPECARR DIST PC E ACES P/ CARRETAS LTDA;Ambas;SIM;
297879;13402544;06/01/2025;7161;;;;7501;;;;         36.00;Não exporta;0;;PIX PIX EMITIDO OUTRA IF PAGAMENTO PIX 03.979.614 0001-55 PAGAMENTO VIA PIX GR JUCEMS;Ambas;SIM;
298210;13405845;02/01/2025;1201;;;1;6033;;;;         37.05;Não exporta;0;89924;PAGTO. NFE 89924/001 DE DIPECARR DIST PC E ACES P/ CARRETAS LTDA;Ambas;SIM;
297699;13400762;17/01/2025;5576;*;;;78;;;;         37.05;Não exporta;0;;0000 13113 124 DÉBITO SERVIÇO COBRANÇA 1.657.348.017.027 TAR. AGRUPADAS - OCORRENCIA;Ambas;SIM;
297669;13400460;14/01/2025;5576;*;;;78;;;;         39.00;Não exporta;0;;0000 13113 124 DÉBITO SERVIÇO COBRANÇA 1.657.348.017.027 TAR. AGRUPADAS - OCORRENCIA;Ambas;SIM;
297774;13401513;24/01/2025;78;;;;2445;;;;         39.04;Não exporta;0;;RECEB. DE DESCONTO DE OXIGENIO MODELO C DE;Ambas;SIM;
297772;13401491;24/01/2025;78;;;;2445;;;;         39.04;Não exporta;0;;RECEB. DE DESCONTO DE OXIGENIO MODELO C DE;Ambas;SIM;
297758;13401351;24/01/2025;78;;;;2445;;;;         39.04;Não exporta;0;;RECEB. DE DESCONTO DE OXIGENIO MODELO C DE;Ambas;SIM;
298272;13406469;03/01/2025;6033;;;;2445;;;;         39.04;Não exporta;0;;RECEB. DE DESCONTO DE MINISTERIO DA JUSTICA - DPTO. DE POLICIA;Ambas;SIM;
298259;13406337;03/01/2025;6033;;;;2445;;;;         39.05;Não exporta;0;;RECEB. DE DESCONTO DE AGENCIA NACIONAL DE TRANSPORTES TERRESTR;Ambas;SIM;
324320;13730175;28/01/2025;;;;;1201;;;9223;         40.00;Não exporta;116;84701;84701 - CONEMANG CONEXOES E MANG. HIDR. LTDA;Ambas;SIM;
298253;13406272;03/01/2025;6033;;;;6670;*;;;         40.00;Não exporta;0;;TRANSFERENCIA PIX REM: ROGERIO VITAL MURAOKA 03/01 2215583;Ambas;SIM;
297959;13403346;10/01/2025;7501;;;;2445;;;;         40.28;Não exporta;0;;RECEB. DE DESCONTO DE CONDOMINIO SUNSET RESIDENCE SUITE E OFFI;Ambas;SIM;
324320;13730167;28/01/2025;4375;;;;;;;;         40.80;Não exporta;116;84701;84701 - CONEMANG CONEXOES E MANG. HIDR. LTDA;Ambas;SIM;
297913;13402889;07/01/2025;7501;;;;6670;*;;;         40.93;Não exporta;0;;425253 CRÉD.LIQUIDAÇÃO COBRANÇA;Ambas;SIM;
297659;13400363;13/01/2025;5576;*;;;78;;;;         40.95;Não exporta;0;;0000 13113 124 DÉBITO SERVIÇO COBRANÇA 1.657.348.017.027 TAR. AGRUPADAS - OCORRENCIA;Ambas;SIM;
324313;13730094;27/01/2025;4499;;;;1201;;;36613;         41.00;Não exporta;116;98214;98214 - Comercio de Acessorios Machota Ltda Me;Ambas;SIM;
298396;13407708;10/01/2025;4790;;;;6033;;;;         41.90;Não exporta;0;;TITULO DE CAPITALIZACAO 1000189;Ambas;SIM;
297808;13401858;28/01/2025;5576;*;;;78;;;;         42.90;Não exporta;0;;0000 13113 124 DÉBITO SERVIÇO COBRANÇA 1.657.348.017.027 TAR. AGRUPADAS - OCORRENCIA;Ambas;SIM;
324213;13728840;14/01/2025;;;;;2445;;;;         44.70;Não exporta;1872;135578;135578 - P. B. LOPES &amp; CIA. LTDA;Ambas;SIM;
297607;13399845;07/01/2025;5576;*;;;78;;;;         44.85;Não exporta;0;;0000 13113 124 DÉBITO SERVIÇO COBRANÇA 1.657.348.017.027 TAR. AGRUPADAS - OCORRENCIA;Ambas;SIM;
298443;13408178;13/01/2025;6033;;;;6670;*;;;         45.00;Não exporta;0;;TRANSFERENCIA PIX REM: FERNANDA PIOVESAN 13/01 1608014;Ambas;SIM;
297598;13399756;06/01/2025;78;;;;2445;;;;         45.91;Não exporta;0;;RECEB. DE DESCONTO DE CLUBE INDAIA;Ambas;SIM;
298600;13409743;20/01/2025;5576;*;;;6033;;;;         46.10;Não exporta;0;;TARIFA BANCARIA CHEQUE VALOR SUPERIOR 95;Ambas;SIM;
298672;13410466;23/01/2025;5576;*;;;6033;;;;         46.10;Não exporta;0;;TARIFA BANCARIA CHEQUE VALOR SUPERIOR 96;Ambas;SIM;
