
Consulta movimento de entradas - 534 - OXIGENIO MODELO INDUSTRIA E COMERCIO DE GASES LTDA

Chave;Fornecedor;Nome fornecedor;UF;Data entrada;Data emissão;Documento;CFOP;Modelo;Espécie;Série;Condições;Emitente;Valor contábil;Dif. de alíq.;FEM DIFA;Base de ICMS;Alíq. de ICMS;Valor do ICMS;ICMS isentas;ICMS outras;ICMS desonerado;Base de IPI;Valor do IPI;IPI isentos;IPI outros;Base S.T.;Alíq. de S.T.;Valor S.T.;Retenção PIS;Retenção Cofins;Retenção CSLL;Retenção de IR;Retenção de INSS;Débito;Crédito;Cód. obs.;Observação;Desconto;Chave NF-e/CT-e/NFC-e/BP-e;Outros Impostos;ICMS retido;Valor do ICMS de antecipação;Pis Lucro real;Cofins lucro real;Valor de frete;Valor de seguro;Valor de outras despesas;Valor do FCP da UF de destino;Valor de ICMS para a UF de destino;Valor de ICMS para a UF do Remetente;Código de retenção PIS;Código de retenção Cofins;Código de retenção CSLL;Código de retenção IR;Código de retenção INSS;Lançamento conferido;FCP S.T.;Materiais próprios;Materiais de terceiros;Subempreitadas;Valor retenção não efetuada;Valor ret. destacada das subemp.;CEI Obra;CNO;Tipo de serviço;Receita 15 anos;Valor 15 anos;Receita 20 anos;Valor 20 anos;Receita 25 anos;Valor 25 anos;Valor retenção adic. não efetuada;Usuário inclusão;Data inclusão;Hora inclusão;Tipo inclusão;Usuário alteração;Data alteração;Hora alteração;Tipo alteração;Situação do documento
16;32972;Oxigenio Modelo Industria e Comercio de Gases Ltda;MS;07/01/2025;07/01/2025;21544;1.904-000;55;NFe;1;Outras;Próprio;210;0.00;0,00;210;17;35.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;MANIFESTO 2627 - Veiculo: QAN7552|DECLARO QUE OS PRODUTOS PERIGOSOS ESTAO ADEQUADAMENTE CLASSIFICADOS. EMBALADOS. IDENTIFICADOS. E ESTIVADOS PARA SUPORTAR OS RISCOS DAS OPERACOES DE TRANSPORTE E QUE ATENDEM AS EXIGENCIAS DA REGULAMENTACAO.|Retorno com bas;0;'50250127479311000131550010000215441000086170;0;0;             0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;KAIO;10/02/2025;17:22:29;DFE Site estadual;INDIAMARA;02/09/2025;16:01:38;Troca global;00 - Documento regular
17;32972;Oxigenio Modelo Industria e Comercio de Gases Ltda;MS;07/01/2025;07/01/2025;21545;1.904-000;55;NFe;1;Outras;Próprio;83;0.00;0,00;83;17;14.11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;MANIFESTO 2647 - Veiculo: QHC3150|DECLARO QUE OS PRODUTOS PERIGOSOS ESTAO ADEQUADAMENTE CLASSIFICADOS. EMBALADOS. IDENTIFICADOS. E ESTIVADOS PARA SUPORTAR OS RISCOS DAS OPERACOES DE TRANSPORTE E QUE ATENDEM AS EXIGENCIAS DA REGULAMENTACAO.|Retorno com bas;0;'50250127479311000131550010000215451000086186;0;0;             0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;KAIO;10/02/2025;17:22:29;DFE Site estadual;INDIAMARA;02/09/2025;16:01:38;Troca global;00 - Documento regular
18;41575;Oxigenio Rondonopolis Comercio de Gases Ltda;MT;07/01/2025;07/01/2025;21565;2.920-000;55;NFe;1;Outras;Próprio;22200;0.00;0,00;0;0;0;0;22200;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;PEDIDO 16209|DECLARO QUE OS PRODUTOS PERIGOSOS ESTAO ADEQUADAMENTE CLASSIFICADOS. EMBALADOS. IDENTIFICADOS. E ESTIVADOS PARA SUPORTAR OS RISCOS DAS OPERACOES DE TRANSPORTE E QUE ATENDEM AS EXIGENCIAS DA REGULAMENTACAO.|Local de Entrega: AVENIDA DOS TAMOIO;0;'50250127479311000131550010000215651000086383;0;0;             0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;KAIO;10/02/2025;17:22:29;DFE Site estadual;INDIAMARA;02/09/2025;16:01:38;Troca global;00 - Documento regular
19;32972;Oxigenio Modelo Industria e Comercio de Gases Ltda;MS;08/01/2025;08/01/2025;21574;1.904-000;55;NFe;1;Outras;Próprio;210;0.00;0,00;210;17;35.7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;MANIFESTO 2654 - Veiculo: QHC3150|DECLARO QUE OS PRODUTOS PERIGOSOS ESTAO ADEQUADAMENTE CLASSIFICADOS. EMBALADOS. IDENTIFICADOS. E ESTIVADOS PARA SUPORTAR OS RISCOS DAS OPERACOES DE TRANSPORTE E QUE ATENDEM AS EXIGENCIAS DA REGULAMENTACAO.|Retorno com bas;0;'50250127479311000131550010000215741000086480;0;0;             0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;KAIO;10/02/2025;17:22:29;DFE Site estadual;INDIAMARA;02/09/2025;16:01:38;Troca global;00 - Documento regular
20;32972;Oxigenio Modelo Industria e Comercio de Gases Ltda;MS;09/01/2025;09/01/2025;21625;1.904-000;55;NFe;1;Outras;Próprio;5204;0.00;0,00;5204;17;884.68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;MANIFESTO 2660 - Veiculo: RWI1A38|DECLARO QUE OS PRODUTOS PERIGOSOS ESTAO ADEQUADAMENTE CLASSIFICADOS. EMBALADOS. IDENTIFICADOS. E ESTIVADOS PARA SUPORTAR OS RISCOS DAS OPERACOES DE TRANSPORTE E QUE ATENDEM AS EXIGENCIAS DA REGULAMENTACAO.|Retorno com bas;0;'50250127479311000131550010000216251000087010;0;0;             0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;KAIO;10/02/2025;17:22:29;DFE Site estadual;INDIAMARA;02/09/2025;16:01:38;Troca global;00 - Documento regular
21;41575;Oxigenio Rondonopolis Comercio de Gases Ltda;MT;10/01/2025;10/01/2025;21645;2.920-000;55;NFe;1;Outras;Próprio;21000;0.00;0,00;0;0;0;0;21000;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;PEDIDO 16309|DECLARO QUE OS PRODUTOS PERIGOSOS ESTAO ADEQUADAMENTE CLASSIFICADOS. EMBALADOS. IDENTIFICADOS. E ESTIVADOS PARA SUPORTAR OS RISCOS DAS OPERACOES DE TRANSPORTE E QUE ATENDEM AS EXIGENCIAS DA REGULAMENTACAO.|Local de Entrega: AVENIDA DOS TAMOIO;0;'50250127479311000131550010000216451000087188;0;0;             0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;KAIO;10/02/2025;17:22:29;DFE Site estadual;INDIAMARA;02/09/2025;16:01:38;Troca global;00 - Documento regular
22;41575;Oxigenio Rondonopolis Comercio de Gases Ltda;MT;10/01/2025;10/01/2025;21651;2.920-000;55;NFe;1;Outras;Próprio;1600;0.00;0,00;0;0;0;0;1600;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;PEDIDO 16312|DECLARO QUE OS PRODUTOS PERIGOSOS ESTAO ADEQUADAMENTE CLASSIFICADOS. EMBALADOS. IDENTIFICADOS. E ESTIVADOS PARA SUPORTAR OS RISCOS DAS OPERACOES DE TRANSPORTE E QUE ATENDEM AS EXIGENCIAS DA REGULAMENTACAO.|Local de Entrega: AVENIDA DOS TAMOIO;0;'50250127479311000131550010000216511000087240;0;0;             0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;KAIO;10/02/2025;17:22:29;DFE Site estadual;INDIAMARA;02/09/2025;16:01:38;Troca global;00 - Documento regular
23;41575;Oxigenio Rondonopolis Comercio de Gases Ltda;MT;10/01/2025;10/01/2025;21652;2.920-000;55;NFe;1;Outras;Próprio;61800;0.00;0,00;0;0;0;0;61800;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;PEDIDO 16313|DECLARO QUE OS PRODUTOS PERIGOSOS ESTAO ADEQUADAMENTE CLASSIFICADOS. EMBALADOS. IDENTIFICADOS. E ESTIVADOS PARA SUPORTAR OS RISCOS DAS OPERACOES DE TRANSPORTE E QUE ATENDEM AS EXIGENCIAS DA REGULAMENTACAO.|Local de Entrega: AVENIDA DOS TAMOIO;0;'50250127479311000131550010000216521000087255;0;0;             0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;KAIO;10/02/2025;17:22:29;DFE Site estadual;INDIAMARA;02/09/2025;16:01:38;Troca global;00 - Documento regular
24;32972;Oxigenio Modelo Industria e Comercio de Gases Ltda;MS;11/01/2025;11/01/2025;21654;1.904-000;55;NFe;1;Outras;Próprio;420;0.00;0,00;420;17;71.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;MANIFESTO 2655 - Veiculo: QAF9E13|DECLARO QUE OS PRODUTOS PERIGOSOS ESTAO ADEQUADAMENTE CLASSIFICADOS. EMBALADOS. IDENTIFICADOS. E ESTIVADOS PARA SUPORTAR OS RISCOS DAS OPERACOES DE TRANSPORTE E QUE ATENDEM AS EXIGENCIAS DA REGULAMENTACAO.|Retorno com bas;0;'50250127479311000131550010000216541000087276;0;0;             0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;KAIO;10/02/2025;17:22:29;DFE Site estadual;INDIAMARA;02/09/2025;16:01:38;Troca global;00 - Documento regular
25;32972;Oxigenio Modelo Industria e Comercio de Gases Ltda;MS;11/01/2025;11/01/2025;21655;1.904-000;55;NFe;1;Outras;Próprio;420;0.00;0,00;420;17;71.4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;MANIFESTO 2667 - Veiculo: QAF9E13|DECLARO QUE OS PRODUTOS PERIGOSOS ESTAO ADEQUADAMENTE CLASSIFICADOS. EMBALADOS. IDENTIFICADOS. E ESTIVADOS PARA SUPORTAR OS RISCOS DAS OPERACOES DE TRANSPORTE E QUE ATENDEM AS EXIGENCIAS DA REGULAMENTACAO.|Retorno com bas;0;'50250127479311000131550010000216551000087281;0;0;             0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;KAIO;10/02/2025;17:22:29;DFE Site estadual;INDIAMARA;02/09/2025;16:01:38;Troca global;00 - Documento regular
26;32972;Oxigenio Modelo Industria e Comercio de Gases Ltda;MS;13/01/2025;13/01/2025;21667;1.904-000;55;NFe;1;Outras;Próprio;3378;0.00;0,00;3378;17;574.26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;MANIFESTO 2649 - Veiculo: HTN5596|DECLARO QUE OS PRODUTOS PERIGOSOS ESTAO ADEQUADAMENTE CLASSIFICADOS. EMBALADOS. IDENTIFICADOS. E ESTIVADOS PARA SUPORTAR OS RISCOS DAS OPERACOES DE TRANSPORTE E QUE ATENDEM AS EXIGENCIAS DA REGULAMENTACAO.|Retorno com bas;0;'50250127479311000131550010000216671000087401;0;0;             0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;KAIO;10/02/2025;17:22:29;DFE Site estadual;INDIAMARA;02/09/2025;16:01:38;Troca global;00 - Documento regular
27;32972;Oxigenio Modelo Industria e Comercio de Gases Ltda;MS;13/01/2025;13/01/2025;21668;1.904-000;55;NFe;1;Outras;Próprio;2590;0.00;0,00;2590;17;440.3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;MANIFESTO 2659 - Veiculo: HTN5596|DECLARO QUE OS PRODUTOS PERIGOSOS ESTAO ADEQUADAMENTE CLASSIFICADOS. EMBALADOS. IDENTIFICADOS. E ESTIVADOS PARA SUPORTAR OS RISCOS DAS OPERACOES DE TRANSPORTE E QUE ATENDEM AS EXIGENCIAS DA REGULAMENTACAO.|Retorno com bas;0;'50250127479311000131550010000216681000087417;0;0;             0,00;0;0;0;0;0;0;0;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;KAIO;10/02/2025;17:22:29;DFE Site estadual;INDIAMARA;02/09/2025;16:01:38;Troca global;00 - Documento regular
