
Consulta movimento de saídas - 534 - OXIGENIO MODELO INDUSTRIA E COMERCIO DE GASES LTDA

Chave;Cliente;Nome cliente;UF;Data emissão;Documento;até documento;CFOP;Modelo;Espécie;Série;Condições;Emitente;Valor contábil;Base de ICMS;Alíq. de ICMS;Valor do ICMS;ICMS isentas;Outras ICMS;ICMS desonerado;Base de IPI;Valor do IPI;IPI isentos;IPI outros;Base S.T.;Alíq. S.T.;Valor S.T.;Cód. Receita PIS;Retenção PIS;Cód. Receita Cofins;Retenção Cofins;Cód. Receita CSLL;Ret. Contrib. Social;Cód. Receita IR;Retenção IR;Débito;Crédito;Cód. obs.;Observação;Cidade coleta merc.;Descrição;Desconto;Chave NF-e/CT-e/NFC-e/BP-e;Outros Impostos;PIS lucro real;Cofins lucro real;Número de série do MRC;Número da máquina;Valor de frete;Valor de seguro;Valor de outras despesas;Valor do FCP da UF de destino;Valor de ICMS para a UF de destino;Valor de ICMS para a UF do Remetente;Lançamento conferido;FCP S.T.;Materiais próprios;Materiais de terceiros;Subempreitadas;Valor retenção não efetuada;Valor ret. destacada das subemp.;CEI Obra;CNO;Tipo de serviço;Receita 15 anos;Valor 15 anos;Receita 20 anos;Valor 20 anos;Receita 25 anos;Valor 25 anos;Valor retenção adic. não efetuada;Base ICMS Concomitante;Alíquota ICMS Concomitante;Valor ICMS Concomitante;Usuário inclusão;Data inclusão;Hora inclusão;Tipo inclusão;Usuário alteração;Data alteração;Hora alteração;Tipo alteração;Situação do documento
10;5532;VETORIAL SIDERURGIA LTDA;MS;28/01/2025;21941;21941;5.101-000;55;NFe;1;Prazo;Próprio;28944.2;28944.2;17;4920.51;0;0;0;0;0;0;28944.2;0;0;0;;0;;0;;0;0;0;DUPLREC;REVENDAP;;(ORDEM DE COMPRA 114495)|Titulos: Nro 88131/1 Venc. 27-02-2025 Valor 28944.20|Local de Entrega: AVENIDA NELSON LIRIO. S/N - - ZONA RURAL - RIBAS DO RIO PARDO - MS|Valor Aproximado dos Tributos R$9.102.95 (31.45%) Fonte: IBPT||;0;;0;'50250127479311000131550010000219411000090267;0;396.39;1825.8; ; ;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;0;0;0;KAIO;10/02/2025;17:22:26;Importação XML;ODIVAL;08/09/2025;09:44:07;Troca global;00 - Documento regular
11;9314257;JOSEF PFANN FILHO E OUTROS;MS;28/01/2025;21942;21942;5.101-000;55;NFe;1;Prazo;Próprio;220;220;17;37.4;0;0;0;0;0;0;220;0;0;0;;0;;0;;0;0;0;DUPLREC;REVENDAP;;|Titulos: Nro 88136/1 Venc. 25-02-2025 Valor 220.00|DECLARO QUE OS PRODUTOS PERIGOSOS ESTAO ADEQUADAMENTE CLASSIFICADOS. EMBALADOS. IDENTIFICADOS. E ESTIVADOS PARA SUPORTAR OS RISCOS DAS OPERACOES DE TRANSPORTE E QUE ATENDEM AS EXIGENCIAS DA REGULAMENTACA;0;;0;'50250127479311000131550010000219421000090272;0;3.01;13.88; ; ;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;0;0;0;KAIO;10/02/2025;17:22:26;Importação XML;ODIVAL;08/09/2025;09:44:07;Troca global;00 - Documento regular
12;9264368;FUNDO MUNICIPAL DE SAUDE DE FATIMA DO SUL;MS;28/01/2025;21943;21943;5.101-000;55;NFe;1;Prazo;Próprio;14120;14120;17;2400.4;0;0;0;0;0;0;14120;0;0;0;;0;;0;;0;0;0;DUPLREC;REVENDAP;;(REFERENCIA: CONTRATO 079/2023. PROCESSO ADM 078/2023. PROCESSO PRES. 017/2023) * IRRF 1.20 = 175.44 *|Titulos: Nro 88138/1 Venc. 27-02-2025 Valor 14620.00|DECLARO QUE OS PRODUTOS PERIGOSOS ESTAO ADEQUADAMENTE CLASSIFICADOS. EMBALADOS. IDENTIFICADOS. E ES;0;;0;'50250127479311000131550010000219431000090288;0;193.37;890.69; ; ;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;0;0;0;KAIO;10/02/2025;17:22:26;Importação XML;ODIVAL;08/09/2025;09:44:08;Troca global;00 - Documento regular
13;9264368;FUNDO MUNICIPAL DE SAUDE DE FATIMA DO SUL;MS;28/01/2025;21943;21943;5.405-000;55;NFe;1;Prazo;Próprio;500;0;0;0;0;500;0;0;0;0;0;0;0;0;;0;;0;;0;0;0;DUPLREC;REVENDAP;;(REFERENCIA: CONTRATO 079/2023. PROCESSO ADM 078/2023. PROCESSO PRES. 017/2023) * IRRF 1.20 = 175.44 *|Titulos: Nro 88138/1 Venc. 27-02-2025 Valor 14620.00|DECLARO QUE OS PRODUTOS PERIGOSOS ESTAO ADEQUADAMENTE CLASSIFICADOS. EMBALADOS. IDENTIFICADOS. E ES;0;;0;'50250127479311000131550010000219431000090288;0;8.25;38; ; ;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;0;0;0;KAIO;10/02/2025;17:22:26;Importação XML;ODIVAL;08/09/2025;09:44:08;Troca global;00 - Documento regular
14;9298705;OXIPORA GASES LTDA;MS;28/01/2025;21944;21944;5.920-000;55;NFe;1;Outras;Próprio;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;;0;0;0;;;;;0;;0;'50250127479311000131550010000219441000090293;0;0;0; ; ;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;0;0;0;KAIO;10/02/2025;17:22:26;Importação XML;INDIAMARA;02/09/2025;16:28:10;Troca global;02 - Documento cancelado
15;9298705;OXIPORA GASES LTDA;MS;28/01/2025;21946;21946;5.920-000;55;NFe;1;Outras;Próprio;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;;0;;0;0;0;;;;;0;;0;'50250127479311000131550010000219461000090301;0;0;0; ; ;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;0;0;0;KAIO;10/02/2025;17:22:26;Importação XML;INDIAMARA;02/09/2025;16:28:10;Troca global;02 - Documento cancelado
16;9298705;OXIPORA GASES LTDA;MS;28/01/2025;21947;21947;5.921-000;55;NFe;1;Outras;Próprio;217800;0;0;0;0;217800;0;0;0;0;0;0;0;0;;0;;0;;0;0;0;;;;(DEVOL REF A NF 6502)|DECLARO QUE OS PRODUTOS PERIGOSOS ESTAO ADEQUADAMENTE CLASSIFICADOS. EMBALADOS. IDENTIFICADOS. E ESTIVADOS PARA SUPORTAR OS RISCOS DAS OPERACOES DE TRANSPORTE E QUE ATENDEM AS EXIGENCIAS DA REGULAMENTACAO.|Local Aplicado: AV BRASIL.;0;;0;'50250127479311000131550010000219471000090317;0;0;0; ; ;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;0;0;0;KAIO;10/02/2025;17:22:26;Importação XML;INDIAMARA;02/09/2025;16:28:10;Troca global;00 - Documento regular
17;9298705;OXIPORA GASES LTDA;MS;28/01/2025;21948;21948;5.921-000;55;NFe;1;Outras;Próprio;6600;0;0;0;0;6600;0;0;0;0;0;0;0;0;;0;;0;;0;0;0;;;;(DEVOL REF A NF 6502) *VAZIO*|Local Aplicado: AV BRASIL. 743 - - CENTRO - PONTA PORA - MS||;0;;0;'50250127479311000131550010000219481000090322;0;0;0; ; ;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;0;0;0;KAIO;10/02/2025;17:22:26;Importação XML;INDIAMARA;02/09/2025;16:28:10;Troca global;00 - Documento regular
18;9298705;OXIPORA GASES LTDA;MS;28/01/2025;21949;21949;5.101-000;55;NFe;1;Prazo;Próprio;7034.32;7034.32;17;1195.82;0;0;0;0;0;0;7034.32;0;0;0;;0;;0;;0;0;0;DUPLREC;REVENDAP;;|Titulos: Nro 88140/1 Venc. 25-02-2025 Valor 7034.32|DECLARO QUE OS PRODUTOS PERIGOSOS ESTAO ADEQUADAMENTE CLASSIFICADOS. EMBALADOS. IDENTIFICADOS. E ESTIVADOS PARA SUPORTAR OS RISCOS DAS OPERACOES DE TRANSPORTE E QUE ATENDEM AS EXIGENCIAS DA REGULAMENTAC;0;;0;'50250127479311000131550010000219491000090338;0;96.33;443.73; ; ;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;0;0;0;KAIO;10/02/2025;17:22:26;Importação XML;ODIVAL;08/09/2025;09:44:08;Troca global;00 - Documento regular
19;9291544;FUNDACAO SERVICOS DE SAUDE DE NOVA ANDRADINA;MS;28/01/2025;21950;21950;5.101-000;55;NFe;1;Prazo;Próprio;6428.7;6428.7;17;1092.88;0;0;0;0;0;0;6428.7;0;0;0;;0;;0;;0;0;0;DUPLREC;REVENDAP;;(AUTORIZACAO DE FORNECIMENTO 226/2025)|Titulos: Nro 88153/1 Venc. 27-02-2025 Valor 6428.70|Local de Entrega: AVENIDA EULENIR DE OLIVEIRA LIMA. 71 - - DURVAL ANDRADE FILHO - NOVA ANDRADINA - BRADESCO - AG 0189-9. C/C 12311-0|Valor Aproximado dos Tributos R;0;;0;'50250127479311000131550010000219501000090347;0;88.04;405.52; ; ;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;0;0;0;KAIO;10/02/2025;17:22:26;Importação XML;ODIVAL;08/09/2025;09:44:08;Troca global;00 - Documento regular
20;9293816;Oxigenio Modelo Industria e Comercio de Gases Ltda;MS;28/01/2025;21951;21951;5.904-000;55;NFe;1;Outras;Próprio;3372;3372;17;573.24;0;0;0;0;0;0;0;0;0;0;;0;;0;;0;0;0;;;;MANIFESTO 2707 - Veiculo: HTN5596|DECLARO QUE OS PRODUTOS PERIGOSOS ESTAO ADEQUADAMENTE CLASSIFICADOS. EMBALADOS. IDENTIFICADOS. E ESTIVADOS PARA SUPORTAR OS RISCOS DAS OPERACOES DE TRANSPORTE E QUE ATENDEM AS EXIGENCIAS DA REGULAMENTACAO.|EMITIDA NOS TER;0;;0;'50250127479311000131550010000219511000090352;0;0;0; ; ;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;0;0;0;KAIO;10/02/2025;17:22:26;Importação XML;INDIAMARA;02/09/2025;16:28:10;Troca global;00 - Documento regular
21;9347359;GERAL MANUTENCAO COMERCIO DE PECAS E SERVICOS AUTOMOTORES LTDA;MS;28/01/2025;21952;21952;5.103-000;55;NFe;1;Prazo;Próprio;4880;4880;17;829.6;0;0;0;0;0;0;4880;0;0;0;;0;;0;;0;0;0;DUPLREC;REVENDAP;;(5248. 5210. 5163. 5312)|Titulos: Nro 88159/1 Venc. 10-02-2025 Valor 6770.00|DECLARO QUE OS PRODUTOS PERIGOSOS ESTAO ADEQUADAMENTE CLASSIFICADOS. EMBALADOS. IDENTIFICADOS. E ESTIVADOS PARA SUPORTAR OS RISCOS DAS OPERACOES DE TRANSPORTE E QUE ATENDEM AS EX;0;;0;'50250127479311000131550010000219521000090368;0;66.83;307.83; ; ;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;0;0;0;KAIO;10/02/2025;17:22:26;Importação XML;ODIVAL;08/09/2025;09:44:08;Troca global;00 - Documento regular
22;9347359;GERAL MANUTENCAO COMERCIO DE PECAS E SERVICOS AUTOMOTORES LTDA;MS;28/01/2025;21952;21952;5.104-000;55;NFe;1;Prazo;Próprio;1890;1890;17;321.3;0;0;0;0;0;0;1890;0;0;0;;0;;0;;0;0;0;DUPLREC;REVENDAP;;(5248. 5210. 5163. 5312)|Titulos: Nro 88159/1 Venc. 10-02-2025 Valor 6770.00|DECLARO QUE OS PRODUTOS PERIGOSOS ESTAO ADEQUADAMENTE CLASSIFICADOS. EMBALADOS. IDENTIFICADOS. E ESTIVADOS PARA SUPORTAR OS RISCOS DAS OPERACOES DE TRANSPORTE E QUE ATENDEM AS EX;0;;0;'50250127479311000131550010000219521000090368;0;25.89;119.22; ; ;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;0;0;0;KAIO;10/02/2025;17:22:26;Importação XML;ODIVAL;08/09/2025;09:44:08;Troca global;00 - Documento regular
23;9332251;MUNICIPIO DE TANGARA DA SERRA;MT;28/01/2025;21954;21954;6.101-000;55;NFe;1;Prazo;Próprio;463.2;463.2;12;55.58;0;0;0;0;0;0;463.2;0;0;0;;0;;0;;0;0;0;DUPLREC;REVENDAP;;|Titulos: Nro 88161/1 Venc. 27-02-2025 Valor 463.20|DECLARO QUE OS PRODUTOS PERIGOSOS ESTAO ADEQUADAMENTE CLASSIFICADOS. EMBALADOS. IDENTIFICADOS. E ESTIVADOS PARA SUPORTAR OS RISCOS DAS OPERACOES DE TRANSPORTE E QUE ATENDEM AS EXIGENCIAS DA REGULAMENTACA;0;;0;'50250127479311000131550010000219541000090370;0;6.73;30.98; ; ;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;0;0;0;KAIO;10/02/2025;17:22:26;Importação XML;ODIVAL;08/09/2025;09:44:09;Troca global;00 - Documento regular
24;9270940;ROGERIO RONALD RIEWE;MS;28/01/2025;21955;21955;5.101-000;55;NFe;1;Prazo;Próprio;180;180;17;30.6;0;0;0;0;0;0;180;0;0;0;;0;;0;;0;0;0;DUPLREC;REVENDAP;;PEDIDO 16647|Titulos: Nro 88160/1 Venc. 28-01-2025 Valor 180.00|DECLARO QUE OS PRODUTOS PERIGOSOS ESTAO ADEQUADAMENTE CLASSIFICADOS. EMBALADOS. IDENTIFICADOS. E ESTIVADOS PARA SUPORTAR OS RISCOS DAS OPERACOES DE TRANSPORTE E QUE ATENDEM AS EXIGENCIAS DA R;0;;0;'50250127479311000131550010000219551000090378;0;2.47;11.35; ; ;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;0;0;0;KAIO;10/02/2025;17:22:26;Importação XML;ODIVAL;08/09/2025;09:44:09;Troca global;00 - Documento regular
25;9332251;MUNICIPIO DE TANGARA DA SERRA;MT;28/01/2025;21956;21956;6.101-000;55;NFe;1;Prazo;Próprio;77.2;77.2;12;9.26;0;0;0;0;0;0;77.2;0;0;0;;0;;0;;0;0;0;DUPLREC;REVENDAP;;|Titulos: Nro 88163/1 Venc. 27-02-2025 Valor 77.20|DECLARO QUE OS PRODUTOS PERIGOSOS ESTAO ADEQUADAMENTE CLASSIFICADOS. EMBALADOS. IDENTIFICADOS. E ESTIVADOS PARA SUPORTAR OS RISCOS DAS OPERACOES DE TRANSPORTE E QUE ATENDEM AS EXIGENCIAS DA REGULAMENTACAO;0;;0;'50250127479311000131550010000219561000090383;0;1.12;5.16; ; ;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;0;0;0;KAIO;10/02/2025;17:22:26;Importação XML;ODIVAL;08/09/2025;09:44:09;Troca global;00 - Documento regular
26;9332251;MUNICIPIO DE TANGARA DA SERRA;MT;28/01/2025;21957;21957;6.101-000;55;NFe;1;Prazo;Próprio;1399.6;1399.6;12;167.96;0;0;0;0;0;0;1399.6;0;0;0;;0;;0;;0;0;0;DUPLREC;REVENDAP;;|Titulos: Nro 88164/1 Venc. 27-02-2025 Valor 1399.60|DECLARO QUE OS PRODUTOS PERIGOSOS ESTAO ADEQUADAMENTE CLASSIFICADOS. EMBALADOS. IDENTIFICADOS. E ESTIVADOS PARA SUPORTAR OS RISCOS DAS OPERACOES DE TRANSPORTE E QUE ATENDEM AS EXIGENCIAS DA REGULAMENTAC;0;;0;'50250127479311000131550010000219571000090399;0;20.33;93.6; ; ;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;0;0;0;KAIO;10/02/2025;17:22:26;Importação XML;ODIVAL;08/09/2025;09:44:09;Troca global;00 - Documento regular
27;9346139;MUNICIPIO DE GUIRATINGA;MT;28/01/2025;21958;21958;6.101-000;55;NFe;1;Prazo;Próprio;2694;2694;12;323.28;0;0;0;0;0;0;2694;0;0;0;;0;;0;;0;0;0;DUPLREC;REVENDAP;;|Titulos: Nro 88162/1 Venc. 25-02-2025 Valor 2694.00|DECLARO QUE OS PRODUTOS PERIGOSOS ESTAO ADEQUADAMENTE CLASSIFICADOS. EMBALADOS. IDENTIFICADOS. E ESTIVADOS PARA SUPORTAR OS RISCOS DAS OPERACOES DE TRANSPORTE E QUE ATENDEM AS EXIGENCIAS DA REGULAMENTAC;0;;0;'50250127479311000131550010000219581000090400;0;39.12;180.18; ; ;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;0;0;0;KAIO;10/02/2025;17:22:26;Importação XML;ODIVAL;08/09/2025;09:44:10;Troca global;00 - Documento regular
28;9336694;SAO CHICO HOSPITAL VETERINARIO LTDA;MS;28/01/2025;21959;21959;5.101-000;55;NFe;1;Prazo;Próprio;170;170;17;28.9;0;0;0;0;0;0;170;0;0;0;;0;;0;;0;0;0;DUPLREC;REVENDAP;;PEDIDO 16651|Titulos: Nro 88165/1 Venc. 28-01-2025 Valor 170.00|DECLARO QUE OS PRODUTOS PERIGOSOS ESTAO ADEQUADAMENTE CLASSIFICADOS. EMBALADOS. IDENTIFICADOS. E ESTIVADOS PARA SUPORTAR OS RISCOS DAS OPERACOES DE TRANSPORTE E QUE ATENDEM AS EXIGENCIAS DA R;0;;0;'50250127479311000131550010000219591000090415;0;2.33;10.73; ; ;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;0;0;0;KAIO;10/02/2025;17:22:26;Importação XML;ODIVAL;08/09/2025;09:44:10;Troca global;00 - Documento regular
29;9293816;Oxigenio Modelo Industria e Comercio de Gases Ltda;MS;28/01/2025;21960;21960;5.904-000;55;NFe;1;Outras;Próprio;7316;7316;17;1243.72;0;0;0;0;0;0;0;0;0;0;;0;;0;;0;0;0;;;;MANIFESTO 2708 - Veiculo: QAQ2824|DECLARO QUE OS PRODUTOS PERIGOSOS ESTAO ADEQUADAMENTE CLASSIFICADOS. EMBALADOS. IDENTIFICADOS. E ESTIVADOS PARA SUPORTAR OS RISCOS DAS OPERACOES DE TRANSPORTE E QUE ATENDEM AS EXIGENCIAS DA REGULAMENTACAO.|EMITIDA NOS TER;0;;0;'50250127479311000131550010000219601000090424;0;0;0; ; ;0;0;0;0;0;0;NÃO;0;;;;;;;;;;;;;;;;0;0;0;KAIO;10/02/2025;17:22:26;Importação XML;INDIAMARA;02/09/2025;16:28:11;Troca global;00 - Documento regular
